ID,时间戳,事件类型,参数1,参数2,参数3,参数4,系统状态,系统总状态位,单体总故障,pack总故障,簇总故障,总电压,预充电压,总电流,簇显示SOC,簇SOH,簇SOE,充电最大允许功率,放电最大允许功率,充电效率,单次充电电量,单次放电电量,累计充电电量,累计放电电量,簇真实SOC,充电SOP,放电SOP,单次充电容量,单次放电容量,累计充电容量,累计放电容量,电压越限次数,温度越限次数,故障保护次数,绝缘电阻+,绝缘电阻-,最高单体电压数据,最高单体电压编号,最低单体电压数据,最低单体电压编号,单体平均电压,最高单体温度数据,最高单体温度编号,最低单体温度数据,最低单体温度编号,单体平均温度,最高单体soc数据,最高单体soc编号,最低单体soc数据,最低单体soc编号,单体平均SOC,最高电池包电压数据,最高电池包电压编号,最低电池包电压数据,最低电池包电压编号,包平均电压,最高动力接插件温度数据,最高动力接插件温度编号,最低动力接插件温度数据,最低动力接插件温度编号,动力接插件平均温度,接触器状态,系统DI输入状态,系统高边驱动状态,配置1,配置2,特殊功能使能位配置,本机IP,本机MAC地址,事件记录版本号,BOOT版本号,软件版本号,硬件版本号,SOX算法版本号,BCU默认参数版本号,CRC16,CRC校验结果
"11","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x1130","寄存器长度:48","/","/","0x640","0x640,0x640","0x640","0x640","0x640,0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x96FB","通过"
"12","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x1160","寄存器长度:48","/","/","0x640","0x640,0x640","0x640","0x640","0x640,0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xC66B","通过"
"13","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x1190","寄存器长度:48","/","/","0x640","0x640,0x640","0x640","0x640","0x640,0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x37DB","通过"
"14","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x11C0","寄存器长度:48","/","/","0x640","0x640,0x640","0x640","0x640","0x640,0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x674B","通过"
"15","2000-1-22-23:41:45","单体校准参数下设","起始地址:0x2100","寄存器长度:8","/","/","0x0","0x0,0x0","0x0","0x0","0x0,0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x6BED","通过"
"16","2000-1-22-23:41:47","单体校准参数下设","起始地址:0x2200","寄存器长度:15","/","/","0x0","0x0,0x0","0x0","0x0","0x0,0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x4059","通过"
"17","2000-1-22-23:41:49","单体校准参数下设","起始地址:0x2200","寄存器长度:15","/","/","0xFFFF","0xFFFF,0xFFFF","0xFFFF","0xFFFF","0xFFFF,0xFFFF,0xFFFF","0xFFFF","0xFFFF","0xFFFF","0xFFFF","0xFFFF","0xFFFF","0xFFFF,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xB127","通过"
"18","2000-1-22-23:41:52","单体校准参数下设","起始地址:0x2100","寄存器长度:8","/","/","0xFFFF","0xFFFF,0xFFFF","0xFFFF","0xFFFF","0xFFFF,0xFFFF,0xFF","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xC9E9","通过"
"19","2000-1-22-23:42:17","系统基本参数下设","起始地址:0x52","寄存器长度:10","/","/","0x0","0x1,0x0","0x1221","0x2","0x2,0x1,0x1","0x18","0x1221","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x60A0","通过"
"20","2000-1-22-23:42:17","事件记录/内测模式切换","上一次模式:简约模式","当前模式:简约模式","上一次内测模式:关闭内测模式","当前内测模式:内测模式1（VT）","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;充电功率锁存;放电功率锁存;脱离母线指令;非运维模式;正常模式;初始化完成","单体电压欠压-严重,单体充电欠温-严重,单体放电欠温-严重","pack电压欠压-严重","单体温度差过大-严重,簇欠压-严重,无故障","804.6V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","8.10kWh","0kWh","0kWh","41.0%","0.0%","0.0%","23.58Ah","10.07Ah","0Ah","0Ah","0","0","0","65535","65535","1.685V","51","1.672V","109","1.679V","39.0℃","6","-38.4℃","109","3.8℃","41.0%","1","41.0%","1","41.0%","94.0V","5","93.6V","1","93.7V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:0; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:0; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:关闭;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","28257","通过"
