文件分类	中文部分	英文部分	备注
	回水压力	return water pressure	Return Water pressure
	电加热运行状态	Running status of the electric heater	Operation status of the electric heater
	1#系统故障	1#system failure	1#System Fault
	1#总告警	1#common alarm	
	系统缺水告警	System water shortage alarm	
	1#冷凝压力过高告警	1#The condensate pressure is too high	1#Condensate Pressure High Alarm
	2#冷凝压力过高告警	2#The condensate pressure is too high	2#Condensate Pressure High Alarm
	出水压力过高告警	The water pressure is too high alarm	Outlet Water Pressure High Alarm
	进水压力过低告警	The water inlet pressure is too low alarm	Inlet Water Pressure LowAlarm
	电源故障告警	Power failure alarm	Power Fault Alarm
	2#系统故障	2#system failure	2#System Fault 
	2#总告警	2#common alarm	
	制冷点	cool point	Cooling point
	加热点	hot point	Heating point
	运行时制冷模式制冷点	Runcoolmode_coolpoint	Operating Cooling Mode_Cooling point
	运行时制热模式制冷点	Runheatmode_coolpoint	Operating Heating Mode_Cooling point
	非运行时制冷模式制冷点	NoRuncoolmode_coolpoint	Non-Operation Cooling Mode_Cooling point 
	非运行时制热模式制冷点	NoRunheatmode_coolpoint	Non-Operation Heating Mode_Cooling point 
	运行时制冷模式制热点	Runcoolmode_hotpoint	Operating Cooling Mode_Heating point
	运行时制热模式制热点	Runheatmode_hotpoint	Operating Heating Mode_Heating point
	非运行时制冷模式制热点	NoRuncoolmode_hotpoint	Non-Operation Cooling Mode_Heating point 
	非运行时制热模式制热点	NoRunheatmode_hotpoint	Non-Operation Heating Mode_Heating point 
	水泵手动需求使能	waterpump_enflag	Pump manual demand enable
	运行时控制模式	run_ctrlmode	Operating_CtrlMode
	出水压力过高设定点	outwaterp_up	Outlet Water High Pressure Set point
	进水压力过低设定点	inwaterp_dn	Outlet Water Low Pressure Set point
	水泵转速需求	waterpump_speed	
	BMS模式控制	bms_ctrlmode	
	监控下发最大温度	monitor_max_tmp	
	监控下发最小温度	monitor_min_tmp	
	监控开关机	monitor_switchs	monitor_ON/OFF
	启用电加热	heater_start	
			
AlarmConfigPage1.js			
	运行参数1	Operation parameter 1	
	实际值	Actual_value	
	实际值	Actual_value	
	备注	Notes	
	备注	Notes	
	簇电压上限值轻微报警值(V)	Cluster voltage upper limit slight alarm value(V)	ClusterVolt Over Voltage Minor alarm Threshold(V)
	簇电压下限轻微报警值(V)	Cluster voltage lower limit slight alarm value(V)	ClusterVolt Under Voltage Minor alarm Threshold(V)
	簇电压上限一般报警值(V)	Cluster voltage upper limit general alarm value(V)	ClusterVolt Over Voltage General alarm Threshold(V)
	簇电压下限一般报警值(V)	Cluster voltage lower limit general alarm value(V)	ClusterVolt  Under Voltage General alarm Threshold(V)
	簇电压上限严重报警值(V)	Cluster voltage upper limit serious alarm value(V)	ClusterVolt  Over Voltage Critical alarm Threshold(V)
	簇电压下限严重报警值(V)	Cluster voltage lower limit serious alarm value(V)	ClusterVolt Under Voltage Critical alarm Threshold(V)
	簇电压上限回差值(V)	Upper return difference of cluster voltage(V)	Return Difference of ClusterVolt Over Voltage(V)
	簇电压下限回差值(V)	Lower return difference of Cluster voltage(V)	Return Difference of ClusterVolt  Under Voltage(V)
	电池包电压上限值轻微报警值(V)	Battery pack voltage upper limit slight alarm value(V)	PackVolt Over Voltage Minor alarm Threshold(V)
	电池包电压下限值轻微报警值(V)	Battery pack voltage lower limit slight alarm value(V)	PackVolt Under Voltage Minor alarm Threshold(V)
	电池包电压上限值一般报警值(V)	Battery pack voltage upper limit general alarm value(V)	PackVolt Over Voltage General alarm Threshold(V)
	电池包电压下限值一般报警值(V)	Battery pack voltage lower limit general alarm value(V)	PackVolt  Under Voltage General alarm Threshold(V)
	电池包电压上限值严重报警值(V)	Battery pack voltage upper limit serious alarm value(V)	PackVolt  Over Voltage Critical alarm Threshold(V)
	电池包电压下限值严重报警值(V)	Battery pack voltage lower limit serious alarm value(V)	PackVolt Under Voltage Critical alarm Threshold(V)
	电池包电压上限值回差值(V)	Upper Return difference of battery pack voltage(V)	Return Difference of PackVolt Over Voltage(V)
	电池包电压下限值回差值(V)	Lower Return difference of battery pack voltage(V)	Return Difference of PackVolt Under Voltage(V)
	电池包压差上限轻微报警值(V)	Upper limit of battery pack voltage difference slight alarm value(V)	Pack Voltage Difference Minor alarm Threshold(V)
	单体电池压差上限轻微报警值(V)	Upper limit of battery voltage difference slight alarm value(V)	Cell Voltage Difference Minor alarm Threshold(V)
	电池包压差上限一般报警值(V)	Upper limit of battery pack voltage difference general alarm value(V)	Pack Voltage Difference General alarm Threshold(V)
	单体电池压差上限一般报警值(V)	Upper limit of battery voltage difference general alarm value(V)	Cell Voltage Difference General alarm Threshold(V)
	电池包压差上限严重报警值(V)	Upper limit of battery pack voltage difference serious alarm value(V)	Pack Voltage Difference Critical alarm Threshold(V)
	单体电池压差上限严重报警值(V)	Upper limit of serious alarm for battery voltage difference(V)	Cell Voltage Difference Critical alarm Threshold(V)
	电池包压差上限回差值(V)	Upper return difference of battery pack voltage difference(V)	Return Difference of Pack Voltage Difference(V)
	单体电池压差上限回差值(V)	Upper return difference of battery voltage difference(V)	Return Difference of Cell Voltage Difference(V)
	单体电池电压上限轻微报警值(V)	Battery voltage Upper limit slight alarm value(V)	CellVolt Over Voltage Minor alarm Threshold(V)
	单体电池电压下限轻微报警值(V)	Battery voltage lower limit slight alarm value(V)	CellVoltUnder Voltage Minor alarm Threshold(V)
	单体电池电压上限一般报警值(V)	Battery voltage Upper limit general alarm value(V)	CellVoltOver Voltage General alarm Threshold(V)
	单体电池电压下限一般报警值(V)	Battery voltage lower limit general alarm value(V)	CellVolt Under Voltage General alarm Threshold(V)
	单体电池电压上限严重报警值(V)	Battery voltage Upper limit serious alarm value(V)	CellVolt Over Voltage Critical alarm Threshold(V)
	单体电池电压下限严重报警值(V)	Battery voltage lower limit serious alarm value(V)	CellVolt Under Voltage Critical alarm Threshold(V)
	单体电池电压上限回差值(V)	Upper return difference of battery voltage(V)	Return Difference of CellVolt Over Voltage(V)
	单体电池电压下限回差值(V)	Lower return difference of battery voltage(V)	Return Difference of CellVolt Under Voltage(V)
	供电电压上限报警值(V)	Upper alarm value of the supply voltage(V)	
	绝缘电阻下限轻微报警值(KΩ)	Lower insulation resistance slight alarm value(KΩ)	Low insulation resistance Minor alarm value(KΩ)
	供电电压上限回差值(V)	Upper return difference of power supply voltage(V)	
	绝缘电阻下限一般报警值(KΩ)	Lower insulation resistance general alarm value(KΩ)	Low insulation resistance General alarm value(KΩ)
	供电电压下限报警值(V)	Lower alarm value of the supply voltage(V)	
	绝缘电阻下限严重报警值(KΩ)	Lower insulation resistance serious alarm value(KΩ)	Low insulation resistance Critical alarm value(KΩ)
	供电电压下限回差值(V)	Lower return difference of power supply voltage(V)	
	绝缘电阻下限回差值(KΩ)	Lower return difference of insulation resistance(KΩ)	 Return Difference of Low insulation resistance(KΩ)
	下发参数	SetPara	
	读取参数	ReadPara	GetPara
	上一簇	lastCluster	
	下一簇	nextCluster	
	轻微值小于一般值小于严重值！	The slight value is less than the general value that is less than the serious value!	minor value < general value < critical value
	上一堆	lastBlock	
	下一堆	nextBlock	
			
AlarmConfigPage2.js			
	运行参数2	Operation parameter 2	
	充电电流上限轻微报警值(A)	Upper limit of charging current slight alarm value(A)	Charge Overcurrent Minor alarm Threshold(V)
	放电电流上限轻微报警值(A)	Upper limit of discharge current slight alarm value(A)	DisCharge Overcurrent  Minor alarm Threshold(V)
	充电电流上限一般报警值(A)	Upper limit of charging current general alarm value(A)	Charge Overcurrent General alarm Threshold(V)
	放电电流上限一般报警值(A)	Upper limit of discharge current general alarm value(A)	DisCharge Overcurrent General alarm Threshold(V)
	充电电流上限严重报警值(A)	Upper limit of charging current serious alarm value(A)	Charge Overcurrent Critical alarm Threshold(V)
	放电电流上限严重报警值(A)	Upper limit of discharge current serious alarm value(A)	DisCharge Overcurrent Critical alarm Threshold(V)
	充电电流上限回差值(A)	Upper return difference of charging current(A)	Return Difference of Charge Overcurrent(V)
	放电电流上限回差值(A)	Upper return difference of discharge current(A)	Return Difference of DisCharge Overcurrent(V)
	单体SOC上限轻微报警值(%)	Upper limit of single SOC Slight alarm value(%)	Cell High SOC Minor alarm Threshold(V)
	单体SOC下限值轻微报警值(%)	Lower limit of single SOC Slight alarm value(%)	Cell Low SOC  Minor alarm Threshold(V)
	单体SOC上限值一般报警值(%)	Upper limit of single SOC general alarm value(%)	Cell High SOC General alarm Threshold(V)
	单体SOC下限值一般报警值(%)	Lower limit of single SOC general alarm value(%)	Cell Low SOCGeneral alarm Threshold(V)
	单体SOC上限值严重报警值(%)	Upper limit of single SOC serious alarm value(%)	Cell High SOC Critical alarm Threshold(V)
	单体SOC下限值严重报警值(%)	Lower limit of single SOC serious alarm value(%)	Cell Low SOC Critical alarm Threshold(V)
	单体SOC上限回差值(%)	Upper return difference of single SOC(%)	Return Difference of Cell High SOC(V)
	单体SOC下限值回差值(%)	Lower return difference of single SOC(%)	Return Difference of Cell Low SOC(V)
	单体SOC差异值上限轻微报警值(%)	Upper limit of SOC difference Slight alarm value(%)	Cell SOC Difference Minor alarm Threshold(%)
	单体温差上限轻微报警值(℃)	Upper limit of temperature difference of single unit slight alarm value(℃)	Cell Temp Difference Minor alarm Threshold(℃)
	单体SOC差异值上限一般报警值(%)	Upper limit of SOC difference general alarm value(%)	Cell SOC Difference General alarm Threshold(%)
	单体温差上限一般报警值(℃)	Upper limit of temperature difference of single unit general alarm value(℃)	Cell Temp Difference General alarm Threshold(℃)
	单体SOC差异值上限严重报警值(%)	Upper limit of SOC difference serious alarm value(%)	Cell SOC Difference Critical alarm Threshold(%)
	单体温差上限严重报警值(℃)	Upper limit of temperature difference of single unit serious alarm value(℃)	Cell Temp Difference Critical alarm Threshold(℃)
	单体SOC差异值上限回差值(%)	Upper return difference of SOC difference(%)	Return Difference of Cell SOC Difference(%)
	单体温差上限回差值(℃)	Upper return difference of temperature difference of single unit(℃)	Return Difference of Cell Temp Difference(℃)
	充电温度上限轻微报警值(℃)	Upper limit of charging temperature Slight alarm value(℃)	Charge OverTemp Minor alarm Threshold(℃)
	充电温度下限轻微报警值(℃)	Lower limit of charging temperature Slight alarm value(℃)	Charge UnderTemp Minor alarm Threshold(℃)
	充电温度上限一般报警值(℃)	Upper limit of charging temperature general alarm value(℃)	Charge OverTemp General alarm Threshold(℃)
	充电温度下限一般报警值(℃)	Lower limit of charging temperature general alarm value(℃)	Charge UnderTemp General alarm Threshold(℃)
	充电温度上限严重报警值(℃)	Upper limit of charging temperature serious alarm value(℃)	Charge OverTemp Critical alarm Threshold(℃)
	充电温度下限严重报警值(℃)	Lower limit of charging temperature serious alarm value(℃)	Charge UnderTemp Critical alarm Threshold(℃)
	充电温度上限回差值(℃)	Upper return difference of charging temperature(℃)	Return Difference of Charge OverTemp(℃)
	充电温度下限回差值(℃)	Lower return difference of charging temperature(℃)	Return Difference of Charge UnderTemp(℃)
	放电温度上限轻微报警值(℃)	Upper limit of discharge temperature Slight alarm value(℃)	Discharge OverTemp Minor alarm Threshold(℃)
	放电温度下限轻微报警值(℃)	Lower limit of discharge temperature Slight alarm value(℃)	Discharge UnderTemp Minor alarm Threshold(℃)
	放电温度上限一般报警值(℃)	Upper limit of discharge temperature general alarm value(℃)	Discharge OverTemp General alarm Threshold(℃)
	放电温度下限一般报警值(℃)	Lower limit of discharge temperature general alarm value(℃)	Discharge UnderTemp General alarm Threshold(℃)
	放电温度上限严重报警值(℃)	Upper limit of discharge temperature serious alarm value(℃)	Discharge OverTemp Critical alarm Threshold(℃)
	放电温度下限严重报警值(℃)	Lower limit of discharge temperature serious alarm value(℃)	Discharge UnderTemp Critical alarm Threshold(℃)
	放电温度上限回差值(℃)	Upper return difference of discharge temperature(℃)	Return Difference of Discharge OverTemp(℃)
	放电温度下限回差值(℃)	Lower return difference of discharge temperature(℃)	Return Difference of Discharge UnderTemp(℃)
	实际值	Actual_value	
	实际值	Actual_value	
	备注	Notes	
	备注	Notes	
	*轻微值小于一般值小于严重值！	The slight value is less than the general value that is less than the serious value!	minor value < general value < critical value
	下发参数	SetPara	
	读取参数	ReadPara	GetPara
	上一簇	lastCluster	
	下一簇	nextCluster	
	上一堆	lastBlock	
	下一堆	nextBlock	
			
AlarmConfigPage3.js			
	运行参数3	Operation parameter 3	
	BCU环境温度上限值轻微报警值(℃)	BCU Ambient temperature Upper limit Slight alarm value(℃)	BCU_High Ambient temp Minor alarm Threshold(℃)
	BCU环境温度下限轻微报警值(℃)	BCU Ambient temperature Lower limit Slight alarm value(℃)	BCU_Low Ambient temp Minor alarm Threshold(℃)
	BCU环境温度上限一般报警值(℃)	BCU Ambient temperature Upper limit general alarm value(℃)	BCU_High Ambient temp General alarm Threshold(℃)
	BCU环境温度下限一般报警值(℃)	BCU Ambient temperature Lower limit general alarm value(℃)	BCU_Low Ambient temp General alarm Threshold(℃)
	BCU环境温度上限严重报警值(℃)	BCU Ambient temperature Upper limit serious alarm value(℃)	BCU_High Ambient temp Critical alarm Threshold(℃)
	BCU环境温度下限严重报警值(℃)	BCU Ambient temperature Lower limit serious alarm value(℃)	BCU_Low Ambient temp Critical alarm Threshold(℃)
	BCU环境温度上限回差值(℃)	Upper return difference of the BCU ambient temperature(℃)	Return Difference of BCU_High Ambient temp(℃)
	BCU环境温度下限回差值(℃)	Lower return difference of the BCU ambient temperature(℃)	Return Difference of BCU_Low Ambient temp(℃)
	BMU电路板温度上限值轻微报警值(℃)	BMU circuit board temperature Upper limit Slight alarm value(℃)	BMU-PCB OverTemp Minor alarm Threshold(℃)
	BMU电路板温度下限值轻微报警值(℃)	BMU circuit board temperature Lower limit Slight alarm value(℃)	BMU-PCB UnderTemp Minor alarm Threshold(℃)
	BMU电路板温度上限值一般报警值(℃)	BMU circuit board temperature Upper limit general alarm value(℃)	BMU-PCB OverTemp General alarm Threshold(℃)
	BMU电路板温度下限值一般报警值(℃)	BMU circuit board temperature Lower limit general alarm value(℃)	BMU-PCB UnderTemp General alarm Threshold(℃)
	BMU电路板温度上限值严重报警值(℃)	BMU circuit board temperature Upper limit serious alarm value(℃)	BMU-PCB OverTemp Critical alarm Threshold(℃)
	BMU电路板温度下限值严重报警值(℃)	BMU circuit board temperature Lower limit serious alarm value(℃)	BMU-PCB UnderTemp Critical alarm Threshold(℃)
	BMU电路板温度上限值回差值(℃)	Return difference of the BMU circuit board temperature upper limit(℃)	Return Difference of BMU-PCB OverTemp(℃)
	BMU电路板温度下限值回差值(℃)	Return difference of the BMU circuit board temperature Lower limit(℃)	Return Difference of BMU-PCB UnderTemp(℃)
	BMU风扇温度上限轻微报警值(℃)	BMU fan temperature upper limit Slight alarm value(℃)	BMU-Fan OverTemp Minor alarm Threshold(℃)
	BMU风扇温度上限一般报警值(℃)	BMU fan temperature upper limit general alarm value(℃)	BMU-Fan OverTemp General alarm Threshold(℃)
	BMU风扇温度上限严重报警值(℃)	BMU fan temperature upper limit serious alarm value(℃)	BMU-Fan OverTemp Critical alarm Threshold(℃)
	BMU风扇温度上限回差报警值(℃)	Alarm value of the upper return difference of the BMU fan temperature(℃)	Return Difference of BMU-Fan OverTemp(℃)
	主正接触器温度上限值轻微报警值(℃)	Main positive contactor temperature upper limit Slight alarm value(℃)	Main Positive Contactor OverTemp Minor alarm Threshold(℃)
	主负接触器温度上限值轻微报警值(℃)	Main negative contactor temperature upper limit Slight alarm value(℃)	Main Negative Contactor OverTemp Minor alarm Threshold(℃)
	主正接触器温度上限值一般报警值(℃)	Main positive contactor temperature upper limit general alarm value(℃)	Main Positive Contactor OverTemp General alarm Threshold(℃)
	主负接触器温度上限值一般报警值(℃)	Main negative contactor temperature upper limit general alarm value(℃)	Main Negative Contactor OverTemp General alarm Threshold(℃)
	主正接触器温度上限值严重报警值(℃)	Main positive contactor temperature upper limit serious alarm value(℃)	Main Positive Contactor OverTemp Critical alarm Threshold(℃)
	主负接触器温度上限值严重报警值(℃)	Main negative contactor temperature upper limit serious alarm value(℃)	Main Negative Contactor OverTemp Critical alarm Threshold(℃)
	主正接触器温度上限值回差值(℃)	Main positive contactor temperature upper limit return difference(℃)	Return Difference of Main Positive Contactor OverTemp(℃)
	主负接触器温度上限值回差值(℃)	Main negative contactor temperature upper limit return difference(℃)	Return Difference of Main Negative Contactor OverTemp(℃)
	预充接触器温度上限轻微报警值(℃)	Upper limit of temperature of precharged contactor slight alarm value(℃)	Precharge Contactor OverTemp Minor alarm Threshold(℃)
	Pack接插件温度上限轻微报警值(℃)	Pack connector temperature upper limit slight alarm value(℃)	Pack Connector OverTemp Minor alarm Threshold(℃)
	预充接触器温度上限一般报警值(℃)	Upper limit of temperature of precharged contactor general alarm value(℃)	Precharge Contactor OverTemp General alarm Threshold(℃)
	Pack接插件温度上限一般报警值(℃)	Pack connector temperature upper limit general alarm value(℃)	Pack Connector OverTemp General alarm Threshold(℃)
	预充接触器温度上限严重报警值(℃)	Upper limit of temperature of precharged contactor serious alarm value(℃)	Precharge Contactor OverTemp Critical alarm Threshold(℃)
	Pack接插件温度上限严重报警值(℃)	Pack connector temperature upper limit serious alarm value(℃)	Pack Connector OverTemp Critical alarm Threshold(℃)
	预充接触器温度上限回差值(℃)	Upper temperature return difference of precharged contactor(℃)	Return Difference of Precharge Contactor OverTemp(℃)
	Pack接插件温度上限回差值(℃)	Pack connector temperature upper limit return difference(℃)	Return Difference of Pack Connector OverTemp(℃)
	实际值	Actual_value	
	实际值	Actual_value	
	备注	Notes	
	备注	Notes	
	*轻微值小于一般值小于严重值！	The slight value is less than the general value that is less than the serious value!	minor value < general value < critical value
	下发参数	SetPara	
	读取参数	ReadPara	GetPara
	上一簇	lastCluster	
	下一簇	nextCluster	
	上一堆	lastBlock	
	下一堆	nextBlock	
			
Block.js			
	堆信息	Stack information	Block information
	实际值	Actual_value	
	备注	Notes	
	实际值	Actual_value	
	备注	Notes	
	堆电压(V)	Stack Voltage(V)	Block Voltage(V)
	堆电流(A)	Stack Current(A)	Block Current(A)
	堆功率(kW)	Stack Power(kW)	Block Power(kW)
	堆SOC(%)	Stack SOC(%)	Block SOC(%)
	堆SOH(%)	Stack SOH(%)	Block SOH(%)
	堆绝缘电阻(kΩ)	Stack insulation resistance(kΩ)	Block insulation resistance(kΩ)
	电池堆额定容量(Ah)	Rated capacity of battery stacks(Ah)	Nominal capacity of battery block (Ah)
	电池系统循环次数	Number of battery system cycles	
	电池堆当前允许最大充电功率(kW)	Stack Max charge power(kW)	Block Max charge power(kW)
	电池堆当前允许最大放电功率(kW)	Stack Max discharge power(kW)	Block Max discharge power(kW)
	电池堆当前允许最大充电电流(A)	Stack Max charge current(A)	Block Max charge current(A)
	电池堆当前允许最大放电电流(A)	Stack Max discharge current(A)	Block Max discharge current(A)
	电池堆充电量累加值(Kwh)	Cumulative value of battery stack charge(Kwh)	Cumulative value of battery block charge(Kwh)
	电池堆放电量累加值(Kwh)	Cumulative value of battery stack discharge(Kwh)	Cumulative value of battery block discharge(Kwh)
	电池堆的充放电状态	Stack charge or discharge state	Block charge or discharge state
	设备系统状态	Stack Baustate	Block Baustate
	电池堆运行状态	Stack Runstate	Block Runstate
	电池堆禁充禁放状态	Stack Enablestate	Block Enablestate
	电池堆故障状态	Battery Stack Fault State	Battery Block Fault State
	系统的心跳	Stack Heartbeat	Block Heartbeat
	上一堆	lastBlock	
	下一堆	nextBlock	
			
BlockConfigPage1.js			
	堆运行参数	Stack Running parameter	Block Operation parameter
	电池簇间压差上限轻度报警值(V)	Upper limit of voltage difference between battery clusters slight alarm value(V)	Voltage Difference between battery clusters Minor alarm Threshold(V)
	电池簇间环流越限轻度报警值(A)	Cell cluster circulation exceeded the limit slight alarm value(A)	Current Flow between battery clusters Minor alarm Threshold(A)
	电池簇间压差上限一般报警值(V)	Upper limit of voltage difference between battery clusters general alarm value(V)	Voltage Difference between battery clusters General alarm Threshold(V)
	电池簇间环流越限一般报警值(A)	Cell cluster circulation exceeded the limit general alarm value(A)	Current Flow between battery clusters General alarm Threshold(A)
